epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=0/232, total_it=1, loss=0.93523, fg_iou=0.068, accuracy=0.622, lr=0.000100
training epoch 1: it=1/232, total_it=2, loss=0.94657, fg_iou=0.056, accuracy=0.652, lr=0.000100
training epoch 1: it=2/232, total_it=3, loss=0.94794, fg_iou=0.059, accuracy=0.682, lr=0.000100
training epoch 1: it=3/232, total_it=4, loss=0.90860, fg_iou=0.101, accuracy=0.675, lr=0.000100
training epoch 1: it=4/232, total_it=5, loss=0.88627, fg_iou=0.140, accuracy=0.713, lr=0.000100
training epoch 1: it=5/232, total_it=6, loss=0.92816, fg_iou=0.087, accuracy=0.717, lr=0.000100
training epoch 1: it=6/232, total_it=7, loss=0.89971, fg_iou=0.122, accuracy=0.729, lr=0.000100
training epoch 1: it=7/232, total_it=8, loss=0.91937, fg_iou=0.095, accuracy=0.731, lr=0.000100
training epoch 1: it=8/232, total_it=9, loss=0.90707, fg_iou=0.109, accuracy=0.732, lr=0.000100
training epoch 1: it=9/232, total_it=10, loss=0.87233, fg_iou=0.151, accuracy=0.740, lr=0.000100
training epoch 1: it=10/232, total_it=11, loss=0.89803, fg_iou=0.119, accuracy=0.723, lr=0.000100
training epoch 1: it=11/232, total_it=12, loss=0.92111, fg_iou=0.092, accuracy=0.720, lr=0.000100
training epoch 1: it=12/232, total_it=13, loss=0.84752, fg_iou=0.166, accuracy=0.744, lr=0.000100
training epoch 1: it=13/232, total_it=14, loss=0.85769, fg_iou=0.158, accuracy=0.754, lr=0.000100
training epoch 1: it=14/232, total_it=15, loss=0.77666, fg_iou=0.257, accuracy=0.778, lr=0.000100
training epoch 1: it=15/232, total_it=16, loss=0.82205, fg_iou=0.198, accuracy=0.770, lr=0.000100
training epoch 1: it=16/232, total_it=17, loss=0.78326, fg_iou=0.234, accuracy=0.768, lr=0.000100
training epoch 1: it=17/232, total_it=18, loss=0.95503, fg_iou=0.052, accuracy=0.744, lr=0.000100
training epoch 1: it=18/232, total_it=19, loss=0.90236, fg_iou=0.108, accuracy=0.752, lr=0.000100
training epoch 1: it=19/232, total_it=20, loss=0.86288, fg_iou=0.147, accuracy=0.767, lr=0.000100
training epoch 1: it=20/232, total_it=21, loss=0.82319, fg_iou=0.191, accuracy=0.790, lr=0.000100
training epoch 1: it=21/232, total_it=22, loss=0.77487, fg_iou=0.249, accuracy=0.798, lr=0.000100
training epoch 1: it=22/232, total_it=23, loss=0.83517, fg_iou=0.187, accuracy=0.794, lr=0.000100
training epoch 1: it=23/232, total_it=24, loss=0.78249, fg_iou=0.247, accuracy=0.803, lr=0.000100
training epoch 1: it=24/232, total_it=25, loss=0.80677, fg_iou=0.227, accuracy=0.798, lr=0.000100
training epoch 1: it=25/232, total_it=26, loss=0.75858, fg_iou=0.271, accuracy=0.815, lr=0.000100
training epoch 1: it=26/232, total_it=27, loss=0.77767, fg_iou=0.241, accuracy=0.815, lr=0.000100
training epoch 1: it=27/232, total_it=28, loss=0.84917, fg_iou=0.166, accuracy=0.783, lr=0.000100
training epoch 1: it=28/232, total_it=29, loss=0.80147, fg_iou=0.223, accuracy=0.806, lr=0.000100
training epoch 1: it=29/232, total_it=30, loss=0.78699, fg_iou=0.231, accuracy=0.810, lr=0.000100
training epoch 1: it=30/232, total_it=31, loss=0.78965, fg_iou=0.244, accuracy=0.823, lr=0.000100
